Emotion Classification,Emotion Count
anticipation,0.4010569583088667
positive,0.1908396946564885
trust,0.1873165002935995
negative,0.1262477980035232
joy,0.0428655314151497
surprise,0.0146799765120375
sadness,0.0111567821491485
fear,0.010569583088667
disgust,0.0088079859072225
anger,0.0064591896652965
anticip,0.0
