Emotion Classification,Emotion Count
anticipation,0.4768518518518518
positive,0.1898148148148148
trust,0.1481481481481481
negative,0.0540123456790123
joy,0.044753086419753
sadness,0.0277777777777777
fear,0.0246913580246913
anger,0.015432098765432
surprise,0.0092592592592592
disgust,0.0092592592592592
anticip,0.0
